Word,Type,Definition1,Definition2,Example,Synonym
bulok,adjective,rotten,,bulok ang mga prutas,
lugar,noun,place,,gusto ko mag adto ta mga lugar,dapit
tubig,,water,,,
tanaw,verb,look,watch,"ayaw tanaw, ako naked!","mata,tutuk"
pula,color,red,,,
adto,verb,go,-,adto ta sa bukid,-
ikog,noun,tail,,ganahan ko ang ikog siya,
inyo,pronoun,your,-,"kini sa inyo, di ba?",imong
balik,verb,return,relapse,balik ka palihug?,
pasiyo,,stroll,,,"laag-laag, suroy-suroy"
ako,pronoun,I,me,-,ko
mao,verb,is,be,,
mag,prefix,future,,magkita ta puhon,
edad,noun,age,,pila imong edad?,
parat,,salty,,,
lahus,expression,through,,,
gamit,verb,use,,Mag gamit ko kana unya,buhat
plato,noun,plate,,,
sunod,expression,next,,,
mahal,noun,expensive,love (tagalog),"mahal ang pagkaon, halaka",sosyal
puhon,adjective,soon,shortly,magkita ta puhon,dayon
kinahanglan,verb,need,require,kinahanglan ko ang San Miguel para kinabuhi-on,
haligi,noun,wall,pillar,,bong-bong
plasa,,plaza,,,
kiliran,expression,beside,next to,akong asawa dinhi siya ako kiliran,
saad,verb,to promise,promise,saad nako palihug,
maka,verb,can,,maka ba ka dunk?,
ra,,just,only,,lang
panapton,noun,clothes,,,sanina
kana,noun,that,it,unsa kana?,na
hugas,verb,wash,cleanse,nag hugasaon mga plato,limpyo
dali,,easy,,,sayon
saba,adjective,noisy,,saba ang musica,
bolpen,noun,pen,,mubo ang bolpen,
baso,noun,glass,cup,,
adlaw,noun,today,sun,ayaw tanaw ka sa adlaw,karon
bag-olong,,recently,,,
mag-uuma,noun,farmer,,akong lolo nag mag-uuma para kinabuhi siya,
gani,expression,yes,,,"oo,bitaw"
gupit,verb,cut,,nag gupit akong buhok karon lang,
bagong tuig,expression,new year,,,
pastilan,expression,darn it,damn,Aye pastilan!,
kuan,expression,thing,anything,asa ang kana kuan?,
gihapon,noun,still,-,gihapon gusto ko kini,pa
hinay-hinay,expression,slow,,"maka ka storya mas hinay-hinay palihug, nag dugo akong ilong kay libog kaayo ko",
abot,,arrive,output,,
salog,noun,floor,,limpyo ang salog,
tinidor,noun,fork,,,
naad,verb,immune,,mga pilipino naad sa mga linog,
amo,,boss,,,
unya,noun,then,later,magkita ta unya,
kugihan,,hardworking,diligent,,
ko,pronoun,I,me,-,ako
kusinera,noun,cook,cook (female),,
tulo,number,three,,,
lutang,verb,to float,float,,
lubi,food,coconut,,,
pa-a,body,leg,,,
